arquivo,documento_id,n_tokens,n_entidades,qtde_NOUN,qtde_VERB,qtde_ADJ,qtde_PROPN,qtde_PER,qtde_ORG,qtde_LOC,qtde_nsubj,qtde_obj,qtde_amod,qtde_advmod
noticias_tst-compete-a-justica-comum-julgar-contrato-de-franquia_2191467016.txt,486,529,52,107,38,26,94,5,20,20,17,18,23,9
noticias_tst-reconhece-a-validade-do-contrato-intermitente_754158890.txt,487,271,16,52,25,24,33,1,5,7,10,14,15,9
noticias_tudo-que-voce-precisa-saber-sobre-contrato-de-franquia_507868074.txt,488,253,20,59,10,21,33,2,4,4,5,2,19,7
noticias_vaqueiro-deve-desocupar-casa-cedida-em-comodato-durante-contrato-de-trabalho_2827411029.txt,489,715,21,179,70,35,40,3,2,11,37,31,25,16
noticias_video-contrato-de-coworking-voce-sabe-como-fazer_810727018.txt,490,146,7,31,18,5,7,0,1,1,9,9,3,9
noticias_videoconferencia-gestao-de-contratos_131204383.txt,491,94,7,15,5,4,21,0,3,2,3,1,2,2
noticias_voce-conhece-os-4-tipos-de-contratos-eletronicos_809217334.txt,492,87,5,17,9,8,4,0,0,1,4,4,5,6
noticias_voce-ja-ouviu-falar-em-contrato-de-namoro_1193028164.txt,493,256,4,57,34,13,9,1,0,1,12,12,10,17
noticias_voce-ja-ouviu-falar-em-contrato-de-namoro_623281184.txt,494,380,10,84,38,26,15,3,1,0,18,13,20,17
noticias_voce-sabe-o-que-e-rescisao-indireta-do-contrato-de-trabalho_1134922877.txt,495,130,4,37,14,7,3,0,0,0,9,4,6,4
noticias_voce-sabe-o-que-e-um-contrato-de-permuta_1664432043.txt,496,135,7,39,7,5,9,0,0,2,7,6,5,2
noticias_voce-sabia-que-existe-contrato-de-namoro-entenda_921715438.txt,497,283,7,59,30,27,14,0,0,1,14,10,22,11
noticias_vontade-de-rescindir-contrato-de-aluguel-pode-ser-comunicada-por-e-mail_2181628336.txt,498,491,13,119,69,22,20,4,1,4,32,26,15,12
noticias_workshop-contrato-de-trabalho-verde-e-amarelo_817528628.txt,499,343,33,63,14,16,81,4,8,11,11,13,12,6
noticias_workshop-contratos-de-locacao-imobiliaria_1191922404.txt,500,168,13,34,17,5,28,5,1,1,6,11,4,2
